Common_Name	Scientific_Name	UCSC_ID	Taxon_ID
Zebra finch	Taeniopygia guttata	taeGut1	59729
Zebra finch	Taeniopygia guttata	taeGut2	59729
Tarsier	Tarsius syrichta	tarSyr1	9478
Tetraodon	Tetraodon nigroviridis	tetNig1	99883
Tetraodon	Tetraodon nigroviridis	tetNig2	99883
Red flour beetle	Tribolium castaneum	triCas2	7070
Manatee	Trichechus manatus latirostris	triMan1	127582
Tree shrew	Tupaia belangeri	tupBel1	37347
Dolphin	Tursiops truncatus	turTru1	9739
Dolphin	Tursiops truncatus	turTru2	9739
 Alpaca	Vicugna pacos	vicPac1	30538
 Alpaca	Vicugna pacos	vicPac2	30538
Western clawed frog	Xenopus (Silurana) tropicalis	xenTro1	8364
Western clawed frog	Xenopus (Silurana) tropicalis	xenTro2	8364
Western clawed frog	Xenopus (Silurana) tropicalis	xenTro3	8364
Lizard	Lacertilia	anoCar1	8511
Lizard	Lacertilia	anoCar1	8548
Lizard	Lacertilia	anoCar1	8560
Lizard	Lacertilia	anoCar1	35033
Lizard	Lacertilia	anoCar2	8511
Lizard	Lacertilia	anoCar2	8548
Lizard	Lacertilia	anoCar2	8560
Lizard	Lacertilia	anoCar2	35033
